id,headline,Note,must_have_count,nice_to_have_count,hard_skills_count,soft_skills_count,distinct_skills_count,total_5_groups_count
b2c39f2499a2a62a95e3eefb64c01b1c22b371b3,Software Engineer,mix,6,0,13,13,0,32
5d872edfaaf0765fa95ac458c04550f89e7dac06,Software Engineer till SJ AB,,0,0,9,3,0,12
65935e19eee5ef414a5c2bbc86774346925c3a38,SharePoint-utvecklare sökes!,,6,6,16,7,0,35
ec8c8a04e32a9bc291346fa81361abc314d94e52,Senior Fullstackutvecklare,,5,0,15,12,0,32
953cb2024dc0a0cd62587f4dfb91d8a4c0fc368f,Mjukvaruutvecklare Dash11,,2,2,5,3,3,15
6a01713adf2c502cef97d7ad4053ddccd8e3fa1b,Mjukvaruutvecklare med stark kompetens inom computer vision,,10,0,6,11,0,27
95432160c1c1b43f13a1dd6defaa73670cbf9496,Senior Fullstack Software Developer,,18,11,35,6,0,70
8a3cd3a9450ae6ef33254dd06f4444204221feab,Senior Software Engineer,,3,6,21,8,0,38
ce30ea8bad57268b6d8fb252465a4a86cf597ff4,Utredare krav och analys,,11,0,20,5,0,36
bf17ef1e0eb6a982cdc03fbfe8800c3c1f8f6626,Utvecklare som är redo för nästa steg!,,9,12,19,10,0,50
fe385f4a15495a0c5b6e69d0e69bbf8754455bb7,Är du vår nästa Java-stjärna?,,6,6,16,3,0,31
7c4a7e3c382de882efc2a6ce7e9992ffb00340a9,Embedded-utvecklare sökes till Sigma Embedded Engineering!,,3,2,5,0,0,10
0c9ecc6e81049036626b33944632389ba2836631,Konsult inom mjukvaruutveckling med Java eller C#,,4,0,15,5,0,24
c448cb7d93355a91fecc0cd78727b5c3d53ac8f9,Mjukvaruutvecklare till världsledande företag,,3,5,21,12,0,41
f065419eed2263d825b1c7f1ad81e3e4a5f4a6d7,Utvecklare till Acoem i Mölndal,,7,3,10,11,0,31
2d45bc6f2ea88235d0a8233485755e029e95c152,Senior Scalautvecklare till ett konsultbolag – Malmö deltid,,4,11,18,1,0,34
b12b0e7946d9a9d1fcc6c11cfefdc8ee73ea443f,IT-konsult,,17,0,18,3,0,38
3e0f12be545866a9225ab3b20787a24b58c8e9bd,C++ Software Developer till Rymdbolag,,2,0,24,3,0,29
bbf8318c1d5197c62425b240baaedbd3c6db676c,Senior Software Quality Assurance Engineer till Gradientech,,8,0,19,13,1,41
e17ebc5d1be8b8797f7f0983e33d4ae1fc44e1f1,Mjukvaruutvecklare,,8,0,7,5,0,20
6f20d94976ad935d30201db9aad0d2373dfeef2d,Junior mjukvaruutvecklare till Albia,,11,12,21,6,0,50
143dd447d17bdab2f36fb3a4bbc91ecdd5dcbe99,"Senior Software Development Consultant till Cloud Enabalers, Göteborg",,11,5,27,12,0,55
ec47c1b7cdf39e665568835d1aea381aee2e7f2d,"IoT Solution Engineer, Telematics & Data collection",,4,0,12,6,0,22
14e40374f49f52a3084d4fcb7817b7d859822245,Senior Embedded Software Developer till försvarsindustrin,,15,1,8,12,1,37
2ef9d29834f4c5d05c683174d7817bbc6d6e15e4,Junior Software Engineer med fokus på testning och kvalitetssäkring!,,3,4,14,10,0,31
00724bfa44ff7e4f6bd87e7b65433b5342a2199c,Mjukvaruutvecklare Java och/eller C#/.net,,4,0,3,1,0,8
3e53086100fac757cf1024742fa79a34b97a27ea,Java-utvecklare till samhällsviktigt inhouse-uppdrag!,,8,6,12,1,0,27
2040d046d3bbb51aa050f9240f505f807d43e0bc,Studentambassadör till Göteborgskontoret!,,0,0,2,4,0,6
667e5f1119a504e8f94cd90628655ca08503afb5,Utvecklare inom Embedded C/C++,,4,0,5,2,0,11
7bd0838415e8bb49f94808651af0a1ae9d2f5600,Mjukvaruarkitekt,,5,0,24,11,0,40
62c870348b798cb7682ca1f1f15ca4d2a49e5017,Android Utvecklare,,17,6,20,2,1,46
d6bbabe298047643d31c5a81498a44088e87806d,Mjukvaruutvecklare / PLC Utvecklare / Control System Engineer,,6,0,8,2,0,16
21934eece219f73ef9dd1bb9d1e40947519d0132,Utvecklare med App-kompetens till Bonnier News Annonsutveckling,,13,1,14,8,0,36
bbd076b720422d14fea704b8664dfbcd7dc8dd8e,Embeddedutvecklare,,1,0,5,8,0,14
4095af72b95719b80fb751cd903b7c4cbc022c01,Mjukvaruingenjör med ledarskapsförmåga till Saab!,,7,0,6,10,0,23
1b2b603e2223f282b08ae30f8b0ea28dfe76dc4b,Mjukvaruutvecklare till Combitech i Linköping,,4,0,4,6,0,14
da1caaaad3c22d100828c21b97de1ae59244ce26,Combitech söker en Data Engineer i Malmö med flera,,9,0,12,7,0,28
e67317ae9543952edf006bb75fa7289a2a97dd42,Frontend Developer till IT Customer and Accounts,,9,3,13,10,0,35
89da494a8b9adaae965ffd3c5ccf0e88a21d05f3,SOFTWARE ENGINEER - GARO E-mobility,,13,12,34,6,4,69
e747f9d22c7b6d65a2e7e71c95ca4f65611565c4,Embedded Linux Developer,,10,0,13,9,0,32
e949b3bd073a741410dd42e13b3826aa0d1ec8d6,Senior Mjukvaruutvecklare,,6,0,2,9,0,17
29fac269cf015bcca2c9f604379758d586e8b5fc,Jönköping: Senior Javautvecklare hybridtjänst,,23,0,19,20,0,62
85d6d8d0f38cce1eca507e80e7d5d8aa71a4ca46,Mjukvaruutvecklare inom radar,,8,0,5,3,0,16
8245de776aec9ab1e4ca2259a7caef9f49720139,Utvecklare med AWS till Axis i Lund!,,1,1,5,11,0,18
750fceec480cf04eab0e7cf347fa0f08279dd983,Junior utvecklare,,2,19,26,6,2,55
b538dd3a43282b4e5b082443a9a6b253a4735608,Tech lead till startup inom hälsoteknik,,28,0,42,10,2,82
83a7c818ddc9bf2d7e4b88a77ceade31e20d9ab5,Konsult inom systemsäkerhet till Combitech i Linköping,,22,0,19,5,0,46
3fc97a60224060874af390a4f38f6d8cd7e7fdcf,Fullstackutvecklare till Riksbyggen,,17,3,33,9,3,65
cfcb2ae30a6f58604789eeb74faaca09c434a5dd,ALTEN i Jönköping test- eller mjukvaruutvecklare ,,4,0,8,1,0,13
2a372f7eed4f4231f8c4d1a54c0bba4be8b20357,DevSecOps-engineer,,10,0,21,5,0,36
e4080c526064c76f38a00d030c86f93a8f6f7ed2,Applikationsutvecklare till Schneider Electric i Skara,,10,0,8,10,0,28
cdf58a4b02fb270e68da28fa8e4da014dc7e46a1,Fullstackutvecklare,,0,0,2,5,0,7
4ec4a23bc0f19e8a90e119d6eefc9c5f2bf9b58c,Embeddedutvecklare till Autoliv i Göteborg!,,6,6,25,5,0,42
0e18ce5f95336fb84e514ccb6ba05efd943f94d9,Erfaren utvecklare,,16,0,14,3,0,33
26d441214e6bea6bb0f0ea920756af7df3ad5cc0,Software Engineer C++,,4,9,11,5,0,29
a89dd7bbb0a5e86995f59a857bd30676abf2212c,Senior backendutvecklare - Node.js,,14,0,16,10,0,40
fc2d62596eed08a2c1d289b5fbfe1ba0abe55e42,Mjukvaruarkitekt inom DB utveckling till Skandia,,7,6,24,15,0,52
1dfa922d141361e3b54349ef6a26ab225765017b,Javautvecklare,,2,1,3,12,0,18
66ac09b15df185c3998ff3ac7d9a07e88b3ea7b1,Software Engineer,,1,0,1,0,0,2
08b35904c8c050918c00da4fb962dec60f6bb9c0,Nyexad Mjukvaruutvecklare? Starta karriären med OpiFlex fullstack-lösningar,,5,0,14,17,0,36
3d7fa3f609fac471741578715ff75be547478781,Mjukvaruutvecklare inom Machine Learning - Bli en del av framtiden!,,4,5,16,8,0,33
0d6deceb0d8f7fbaf7388f8244060da5cfafc297,Mjukvaruutvecklare till Traineeprogram Komatsu Forest,,0,0,2,5,0,7
4d664c3d98a17f4fbd2a4eeef937018df2ea93e1,C++ utvecklare till Shapeline!,,5,2,14,6,0,27
bbd75fc7ef4f2cf2b0c10730200251e9ce246857,Senior .Net utvecklare – Skövde heltid,,1,4,5,0,0,10
76823aac15d363047c7b8ec0acc55130d79637f6,Junior Utvecklingsingenjör,,0,0,3,3,0,6
2af58d3ee9707f725c8a4e61a7abf072fadb3fdf,C#-utvecklare - Bokförlagsindustri,,10,0,12,8,0,30
6bcfddf5778839a540667543b6e475a42273c0cc,Mjukvaruutvecklare med intresse för kartmjukvara – försvarsnära teknikmiljö,,0,0,17,4,0,21
7a4a94128750c035840f14bb5b5f618bfa234062,Utvecklare till Tikab,,10,10,17,10,0,47
9ec2819b4aea22446ec59deb66ef7a31b8285511,Junior mjukvaruutvecklare inom C/C++,,3,6,15,7,0,31
5fb25768e7f37ffa00739b65e65f0159a7aceeea,Lösningsarkitekt Dynamics 365,,0,0,7,1,0,8
d98b5b261e398686722a9e0bfc5b104d19d67b72,Mjukvarutestare,,4,6,18,7,0,35
cf2a8d074ae385dc3737143b81acb0aa494937cd,Junior embeddedutvecklare till bolag inom fordonsindustrin,,0,1,3,5,1,10
4b9585a9fde62098cea49b923d4928b51a18a257,C++utvecklare,,1,1,7,12,0,21
e29567f7507aa957bd67216d95fc1ca1f263e11c,Embeddedutvecklare till tekniskt konsultföretag,,1,4,6,2,0,13
05b8cb0ae75d7945694a18309545f7fbdbdf0c70,QA-specialist med erfarenhet från offentlig sektor,,7,0,6,9,0,22
e5c66ffa6f3a0a5ec4d68df0cebffdc588b222c6,Mjukvaruutvecklare Cloud,,4,0,2,4,0,10
cf3d126dc7505dd00d800616bc9d33560a831963,Senior mjukvaruutvecklare Embedded,,3,6,8,6,0,23
0f12811ad8b87eae5aaeefe63f1ae8a393059cfe,Senior mjukvaruutvecklare,,10,2,7,12,0,31
1203d631abea773b3c65845c27062f6bfa48a5c2,Mjukvaruutvecklare till Tietoevry i Karlstad ,,7,1,10,5,0,23
da8bf2d2edb62ae71be2edd277eab76e85d23fd8,Test Developer Engineer till fordonsindustrin!,,1,2,3,4,0,10
5a5ba2adfab7865ebb746b77e6b3399b211a1d9f,Junior Testintegratör till Saab!,,0,0,9,7,0,16
012909c528d3a3066cb111661d2891ead64544e0,Platform Engineer,,0,0,21,14,0,35
3e474db7ba9e07e2dd4431e2f6610b4ee7876212,DevOps-utvecklare,,1,0,9,6,0,16
a0065698ff3684902da1bd49592127b21b32d842,Software Engineer (Fullstack TypeScript/JavaScript),,17,0,31,13,0,61
df149570c0188ef083cbbecdbf8dc3597ebbd531,AUTOSAR-expert till växande bolag,,3,5,9,1,0,18
3ada6bcd4cf3482bdbeaf18d62afdc0c50ec864d,Utvecklare med teamledaruppdrag till robotfabriken,,7,8,15,17,0,47
985fabef9b5e51283b2f1d0fec5408a525037bd1,Mjukvaruutvecklare,,4,0,13,2,0,19
6ac5001371ab9a8a6b4f6f2d90b40a7c8c68e04b,Mjukvaruingenjörer till Linköping,,12,0,10,3,0,25
d2afeb9af93116b91405a0029d588c3a911675bd,Mjukvaru- och testutvecklare för inbyggda system,,3,0,10,6,0,19
abbad8dfd1ab720cd4d977125ef7f98d0521f0e9,Mjukvarutestare,,3,5,15,8,0,31
44355e148f58cf8bb034583bd88c38f2fe9764e0,Mjukvaruutvecklare till försvarsindustrin,,5,0,12,11,3,31
8e51da2095b0e09998af14f1bafb5f65973a7c36,SW Release Manager,,1,0,7,10,1,19
eaebf7c9185b6bd1e02badd33b456a60a724bf4f,Senior Fullstackutvecklare,,9,0,15,6,0,30
3b698c1e39b3cda4a13ecfed710ee6379af976b6,BI-konsult till Combitech Malmö/Helsingborg,,3,0,9,6,0,18
e4f0b5a705880ac85975e343d693f20c3ce26b0f,Erfaren mjukvarutestare sökes!,,16,0,20,11,0,47
a0901b33e9e32386dfa75875c3696e368fec3187,Talangprogram på Axfood 2025,,11,0,7,4,0,22
e672bbabde169070e268953033f71205750bc39b,AFRY i Karlstad söker mjukvaruutvecklare inom embedded/inbyggda system!,,13,13,13,9,1,49
8ae8ddfc9cbef95b57c16ed014f7cc286902e8b6,Cyber Security Engineer på TechSeed,,18,6,26,9,0,59
98dddf8418ba79f5ee194ff886354fcc6e9195c9,Senior DevOps / Feature Leader  Volvo Group,,0,0,3,2,1,6
0baf50898deb141c2d02999cbdde38736f27308d,Business Intelligence BackEnd utvecklare,,2,0,3,1,0,6
a20d795463241aab8b99e2d7a37d855d29f33656,Embeddedutvecklare som räddar liv!,,16,0,17,13,1,47
fc9cb4c728a4b678b8ca2eedafa7a4e10fdb3b11,.Net-utvecklare till AFRY Göteborg,,12,5,27,3,0,47
8fc7a4285bf16979b988f78be1adc3d9a6f4eb82,Data scientist till Husqvarna AB,,0,0,17,14,0,31
f14fccc966761b3b626dd798feca57a76280b6b3,Data engineer till avdelningen för finansiell stabilitet,,4,15,22,15,0,56
e5eb5511b113f43f24551b9a598c3c7018344d80,Integrationsutvecklare,,10,4,20,11,0,45
caecd02de277499df32b5300f5f707e5db2f0fcf,Software Engineer,,2,0,9,14,0,25
f43c734abc8930ecc0a9296b33981bc985d41d4c,Senior Embedded Developer,,6,0,6,16,0,28
2a1394eb90de28e97e8ffd4d095ad1c7a95f2c23,Starta Din Karriär som Ingenjör på Ledande Fordonsföretag i Göteborg,,10,0,8,2,1,21
68299688deb859f17724fc90b286fa81eb2f27b4,Software Architect,,10,6,29,18,0,63
6d353c8cb10c7a1356b9ad1f9c0174ca3ad63188,DevSecOps-utvecklare,,28,2,35,6,1,72
f69346c7492fd058f1d74583fdcc7f4e5d0b78df,Backendutvecklare sökes till Axis i Lund!,,5,1,6,4,0,16
7ce8020b8bc5a2ae7e3d0d515bb9504eb680b070,Senior Mjukvaruingenjör - Team SICS,,3,0,13,6,0,22
dbbcd4ecd465d6855697eeb146dde1918ee5a2a8,Mjukvaruutvecklare,,7,1,12,2,0,22
29fdbf83b8129345c9d96196223de16aeadea161,ALTEN Industry söker Mjukvaruutvecklare,,1,0,13,0,2,16
2719bec1248961c0f429170a7c0bb7ac77784a09,Din unika möjlighet till Talangprogram på Saab är här!,,1,2,7,1,1,12
e02c93303d68b0a208f68600009e38ce7df35455,"DevOps-utvecklare, Gävle",,13,10,14,21,1,59
719b4e924969e6d84c806afef7e7e7d27f7564dc,Lösningsarkitekt till Softhouse i Luleå,,11,0,11,5,0,27
bf51458933dc7616e9910ccc75df2d1610966c63, Mjukvaruutvecklare - Göteb0rg,,11,0,10,13,0,34
02bf97a7e0b871fb42030befcf64cb8e42527293,"Testingenjör för samordning, planering och genomförande",,6,0,18,15,0,39
0479cb715f853560d7b289e59ed7147d4906c01a,Fullstack utvecklare med intresse för automation och styrning!,,19,3,21,15,0,58
88bf63d30305a0c6cc0d8282bcf8c151dd9dea3a,Erfaren Mjukvaruingenjör till Saab TransponderTech AB,,13,3,18,17,0,51
6409076f4ad513ab91ec0fa7110bf4570a9dacea,DevOps Infrastructure Engineer till globalt elektronikbolag!,,9,0,10,10,0,29
14b6868982719cad7aa1cab2f2c252e03957a35f,Mjukvaruingenjör till Elvaco,,27,0,28,14,0,69
ffcb9e34e0dbca1a9a2dd8c5426d7a8c895fb765,Jobba med framtidens fordon: Utvecklare till AFRY,,6,5,8,10,1,30
475a0d3e2e8f0a634ddeca9583121fc48ac88f7a,FULLSTACKUTVECKLARE TILL MANTA – MARIN AUTONOMI OCH ROBOTIK,,5,2,22,3,0,32
c803a180c7923df8e18248c29fdb6e31889a099a,Junior mjukvaruutvecklare / Python / Dataanalys,,3,14,24,12,0,53
6c155103b1ea8352ad86caac690bd7c423eab634,Vi söker en mjukvaruutvecklare,,18,1,36,10,0,65
8d8ffcd005addac075eff4ba23f1f104c9017771,Expert inom programvarukvalitet,,11,3,18,8,0,40
6fed9c4ec380c3a20dd99737055f0290c29449e3,Senior Embedded Software Engineer,,8,0,15,13,0,36
e2fba73da3595aa5ed072632a6d96436ec6de99d,QA-testare till Lund!,,21,1,15,22,0,59
03905ec495f7dad2402c1d37bda4bd74663d9d7a,Top Talents till Combitech Talent program,,2,0,4,7,0,13
cc44a2ca44929f5746a8f2ef6aab64e22e3c2451,Fullstack-utvecklare med fokus på Java,,7,9,15,5,0,36
e11a2779c3a5e33108805f1f7e1adcfbcfc5a7a8,Geposit söker Software Engineers,,13,4,15,10,0,42
5d0b6a3873ae59fa8203c7a2160ee8134cd9c326,Fullstackutvecklare med fokus på Microsoft applikationer,,16,3,21,6,1,47
4761c9004b4f47c1ae515e73a9db299510675370,Senior Mjukvaruutvecklare,,5,0,5,5,0,15
0bb1ce04b1011a37a55c26d4c4b30993f58a0358,Java utvecklare till ett omtyckt IT-konsultbolag,,2,6,15,7,0,30
95be9fcbc8037d22b003b53dc2d27630aedcd64f,Vill du vara med och forma framtiden med Qvantum?,,0,0,11,10,0,21
9ee29e9491f989929117fe9c8a3df8fd1f61e925,Senior systemutvecklare,,4,3,16,9,0,32
e2303b3eead419885211a6bc4119db84fb69ab62,Teamlead/Mjukvaruarkitekt till ST Airborne Systems,,1,2,24,7,0,34
107c94cfcde96d9304cdb49828ae3f15b8df56ab,Är du vår nästa projektledare inom Life Science och AI?,,20,13,33,15,4,85
67135f9957c06279c82c45a0c519d087511c735d,Mjukvara som förändrar världen,,0,0,3,7,0,10
e57ce82992c09316f792585bdf36efa135d98004,Utvecklare testsystem,,2,6,21,14,0,43
e59c2ffb9faf58dc6f681f0dd6a1caf9a70bcea8,"Senior Software Development Consultant till Cloud Enabalers, Göteborg",,9,5,27,13,0,54
5a40d277e71b4529dbee5256b23ccb4324ade1ae,Embedded mjukvaruutvecklare,,2,0,3,1,0,6
534ae00e1b697b794f42fc94a4644fa318e664ef,Forskare i högpresterande datorberäkningar (HPC),,6,8,22,7,0,43
a0270446be9b712ca74962cd6c12cd91cf6dc0db,Software Engineer,,0,0,7,3,1,11
e0dbe7c1ccb4b0695ba31e3d65b5e2abc79e7c67,Erfaren mjukvaru-/ systemutvecklare till våra utvecklingsteam,,5,0,25,4,0,34
8e623e7315ea4d6b10b72ae277dee8c95e471581,Utbildare inom spelprogrammering sökes,,13,1,7,10,0,31
1b7ad9b87bd55895bacfb07029659ab1607d0afb,Fullstack Utvecklare - Finans/Försäkring,,4,0,4,3,0,11
86bd1ae96d3454815c4dfdfb90a1f70e7a97a6c6,Erfaren utvecklare inom Cyber security till Combitech,,1,3,13,9,0,26
afe46cd7c3b4e40e11e9a111b7aa0f0e58efe4d4,"IT-traineeprogram, Stockholm",,2,19,19,12,0,52
d2c50b4d758a3369ee6a30d6b5f284c159eee6bc,Utvecklare C++,,4,4,39,6,2,55
e0eae3ddc552043174c91f750c5816f604433ee5,Senior mjukvaruutvecklare sökes,,3,0,5,6,0,14
dd174cad81d4377c5b903e3a81884b47b1f94e05,Embeddedutvecklare,,7,2,7,9,1,26
210ee59f35bb6c3b3a6d7c3bcb971cce8b0df39f,Senior DevOps Engineer till Syncro Group!,,11,3,20,4,0,38
6626e78e6bd7515e9e1750700cb7392850980482,Fullstack-utvecklare till Tikab – Är du vår nästa stjärna?,,10,11,22,12,0,55
c5793b3ec84a78976219118c9c13b139fb253097,Rädda världen som mjukvaruutvecklare av inbyggda system,,2,1,3,6,0,12
a41073ef5458b03f83b3cd0ba76b4cac23097009,Azure tekniker,,6,0,10,8,0,24
42ad0d8a4a6890c19bf114608d7a2b80d2f15598,Embedded mjukvaruutvecklare till Logos Payment Solutions,,5,6,15,10,1,37
e5de1b871a05f66f7890a42fb559d0f51a4089fd,Embedded Software Engineer,,4,3,17,0,0,24
6c5601272bcee5442e92100e587302fc7f8cd6f6,Vill du felsöka framtidens teknik på Saab,,3,4,8,7,0,22
0297e7923cad54566bf0dd39267397e79c861da0,Mjukvaruutvecklare för inbyggda system,,0,0,2,3,0,5
8433ce5ace52d7f42850a80512b565d89338e9f8,Junior mjukvarutvecklare till Combitech i Linköping,,0,0,3,6,0,9
a9710ed32a3b56eeb10db393e10f646cb3735ab1,Utvecklare till Adtech-teamet på Bonnier News,,2,10,12,8,0,32
aff2bc22669f6047de56a685d664a5e205896233,Software Developer / Mjukvaruutvecklare C++,,5,0,8,13,0,26
89d6669ed04281d21bff745787eca6894ca699dd,Mjukvaruutvecklare inom Machine Learning - Bli en del av framtiden!,,5,5,7,11,0,28
5edc69e9cca11b947925969821ea0814b95407c3,Mjukvaruutvecklare till Permanova,,8,3,12,7,0,30
0d70c70e5d8d64f5bfa4a26ad472bfb6cb532316,Mjukvaruutvecklare inom Machine Learning - Bli en del av framtiden!,,5,5,22,9,0,41
ffda32567e94e1dfa601b07061a1d1306df660f6,Ingenjörer inom mjukvaruutveckling till Envirologic AB i Uppsala,,2,0,9,9,0,20
63eb11313658837788bb56d52c073182fbd1a0ea,Embeddedutvecklare till tekniskt konsultföretag,,0,4,5,1,0,10
725fd55041ad9860e246e81b1a373ba04897b11b,Mjukvaruutvecklare för Gaffeltruckar och IoT-tjänster!,,9,0,16,11,0,36
e012e1b7179075fe8ca78dccf8cfdf6909b9b55b,Fullstackutvecklare till Vitec Samfundssystem,,21,11,29,7,0,68
a980285c24a13d1b311e46f3e33f3039042170c3,Mjukvaruutvecklare inbyggda system,,7,4,14,11,0,36
a5f75d409484ce21ca9733838097f96bec84c0e2,Mjukvaruuvecklare med erfarenhet av C++,,3,1,8,5,0,17
75386ba663a31961937aec5a192e2df18e302e0f,Vi söker seniora mjukvaruutvecklare!,,8,0,7,12,0,27
c16a08353d7f89c5d3ee8625fc57043ef77922a9,Junior Mjukvaruutvecklare till Saab Surveillance,,6,9,17,9,0,41
971287f91048daa280e8a337813bc510ef8504ec,Microsoft Dynamics 365-utvecklare,,2,0,5,7,0,14
07b05503471c734a362f6f35032dd7b4060e031a,Mjukvaruutvecklare,,6,0,3,9,0,18
c95009771740c69be7cc89d153e85942e9b5f2fc,.NET-utvecklare med erfarenhet,,7,0,5,7,0,19
a65416bfd9a6966c0af0c7651fcfa3a4a79ffaa0,Affärsledarakademin,,0,0,1,2,2,5
4cf804602b1964c1184595cbf8542a75ec0bf05f,Embedded Software Developer till TechSeed,,6,7,7,5,3,28
e3d6e8e9be5f5de93e6c12435c95c0b6d8500c74,Software Engineer,,0,0,12,1,0,13
58482b381dfb35eca06cfd13d245e90e793eab76,Mjukvaruutvecklare inom inbyggda system till fördonsjätte!,,3,6,7,13,1,30
ca98fb4279ae52847a13184af241828028355cfc,Senior C#/NET-utvecklare till Stödsystem Gripen ,,3,1,9,5,0,18
7f34958a5a3305816490f746de1e880a0260ca9b,Fullstack-utvecklare till T-Kartor i Lund!,,4,15,32,10,0,61
158f552d78bb8c492406de518c9529b89e1d9118,AFRY i Karlstad söker mjukvaruutvecklare inom embedded/inbyggda system!,,5,12,13,8,1,39
1a30cc0d36543c3691a388fcf752069f94586200,Vill du arbeta med radar och har doktorerat? Se hit!,,1,5,5,4,0,15
69151d7b51e7f7b8ad35702b1137fe04268cceca,Embedded Software Engineer C++,,4,0,4,8,0,16
f11c1d2fc524f7776a6c98012ec5a271842f65d9,Senior Embeddedutvecklare till ICOMERA!,,2,6,17,11,0,36
67656e5b2ac26b0f370e26fe7b1cfcdfbc028a08,Senior Systemutvecklare,,4,6,17,6,0,33
050ffe9039e35fb03bdd9b1f2828b5fec0d7e3c2,Junior programmerare till Saab i Linköping,,0,0,9,11,0,20
4b438cdabbb9de86093d775d79bb00a87a892f8d,Mjukvaruutvecklare med kunskap inom IT-säkerhet,,6,4,19,6,0,35
24a3816cb00ac81ba0e123ba35503851f4cffcd7,Senior embeddedutvecklare,,7,0,10,12,0,29
fc5524ac3f04064213a12d27a7e3655928ab35a3,Systemutvecklare .NET,,13,4,22,5,1,45
22bc66a6f6f563700bb33421ccdea40dad43487c,CAE Engineer,,10,1,9,8,0,28
1590b304487f956e96466de9cd8b37702bc70ea9,Embeddedutvecklare till AFRYs Talangprogram,,3,4,6,10,0,23
e67c0f9fa8cf6f8528202fb5623c4940f27a114e,Senior Fullstack Developer till Gradientech,,5,1,9,11,2,28
cf2b460ad354d65d00d86c0d70e434d40e7a9973,Senior Software Developer,,4,14,20,15,0,53
4899b1a3885cd19a8da8814b1fa1db94c4d9d1d0,Erfaren Mjukvaruutvecklare till Teknikledningen inom Gripen,,2,1,6,9,0,18
72600d2be5affe1123ff26654601d87a6dc59d9c,"Team Lead, Software Development - Infobric Equipment & Assets",,12,0,17,7,0,36
8dd0c2f9c8625abc0f556e23de14f7c0c40e74cb,Klientspecialist till Must,,23,9,22,19,1,74
2c665ca620d5c39c4a77c05713888c7bb1e1b96a,Summer Internship 2025,,1,10,6,8,1,26
2cd4caec195215c21c020046688beac3c8f811ae,Erfaren utvecklare till Softhouse i Luleå,,11,1,8,7,0,27
72a5f81c6106275f098dfdcbb229b937b5ddc29f,Senior Utvecklare till Taxiteknik i Stockholm,,10,0,7,10,0,27
4277281686ae168aed0a86ec5a317e2b6666d9fa,Mjukvaruutvecklare till Saab Aeronautics,,2,0,11,1,1,15
