domain,skill,metric,winner,winner_score,runner_up,runner_up_score,margin
it,hard_skills,containment_macro_f1,BERT,0.713427433685471,Claude,0.667016868610156,0.04641056507531505
it,soft_skills,containment_macro_f1,BERT,0.7052364074518802,Gemini,0.6609022138518431,0.0443341936000371
it,distinct_skills,containment_macro_f1,Gemini,0.4440682333539477,GPT,0.4341407269978698,0.009927506356077864
it,must_have,containment_macro_f1,Gemini,0.6633619800866392,Claude,0.6234792046600182,0.039882775426621
it,nice_to_have,containment_macro_f1,Claude,0.8017482990720806,GPT,0.7990127716829571,0.0027355273891234155
journal,all_skills,containment_macro_f1,BERT,0.7835814977904986,GPT,0.6766892298784207,0.10689226791207784
journal,hard_skills,containment_macro_f1,BERT,0.6890119812722547,Gemini,0.5100285735534544,0.17898340771880028
journal,soft_skills,containment_macro_f1,BERT,0.7346374213618857,Gemini,0.6977535405650948,0.03688388079679095
journal,distinct_skills,containment_macro_f1,BERT,0.5057277972092846,GPT,0.4179126943730153,0.08781510283626931
journal,must_have,containment_macro_f1,BERT,0.7626096570289056,BART,0.490333144586504,0.2722765124424016
journal,nice_to_have,containment_macro_f1,Gemini,0.8588212626648456,GPT,0.8218967511246923,0.036924511540153304
merged,all_skills,containment_macro_f1,BERT,0.774926469841685,GPT,0.6666766062087653,0.10824986363291966
merged,hard_skills,containment_macro_f1,BERT,0.7163047977406155,BART,0.5896179439777157,0.1266868537628998
merged,soft_skills,containment_macro_f1,BERT,0.7377256456135539,Gemini,0.6789022423253007,0.058823403288253195
merged,distinct_skills,containment_macro_f1,BERT,0.4706666468452182,GPT,0.43845369091395686,0.03221295593126133
merged,must_have,containment_macro_f1,BERT,0.6751085017137213,Gemini,0.533593255577168,0.1415152461365533
merged,nice_to_have,containment_macro_f1,Gemini,0.8080177941602137,GPT,0.7924845936397346,0.015533200520479129
it,all_skills,lexical_macro_f1,BERT,0.7713570588549464,Gemini,0.6924119348174098,0.07894512403753662
it,hard_skills,lexical_macro_f1,BERT,0.7146216492789774,Claude,0.6688883907632738,0.045733258515703645
it,soft_skills,lexical_macro_f1,BERT,0.7075461834498833,Gemini,0.6680624636100815,0.03948371983980181
it,distinct_skills,lexical_macro_f1,Gemini,0.4440682333539477,GPT,0.4341407269978698,0.009927506356077864
it,must_have,lexical_macro_f1,Gemini,0.6633619800866392,Claude,0.6234792046600182,0.039882775426621
it,nice_to_have,lexical_macro_f1,Claude,0.8017482990720806,GPT,0.7990127716829571,0.0027355273891234155
journal,all_skills,lexical_macro_f1,BERT,0.7852088551606702,GPT,0.6791903810831287,0.1060184740775415
journal,hard_skills,lexical_macro_f1,BERT,0.6926756186190558,Gemini,0.5110736292568954,0.18160198936216043
journal,soft_skills,lexical_macro_f1,BERT,0.7378765531221442,Gemini,0.7025109561493706,0.03536559697277353
journal,distinct_skills,lexical_macro_f1,BERT,0.5057277972092846,GPT,0.4179126943730153,0.08781510283626931
journal,must_have,lexical_macro_f1,BERT,0.7649804722440611,BART,0.5055451180416645,0.2594353542023966
journal,nice_to_have,lexical_macro_f1,Gemini,0.8645030808466637,Claude,0.8233895208327027,0.04111356001396105
merged,all_skills,lexical_macro_f1,BERT,0.7767341693007732,Gemini,0.6684324443836738,0.10830172491709944
merged,hard_skills,lexical_macro_f1,BERT,0.7181453212040124,BART,0.598861239352439,0.11928408185157346
merged,soft_skills,lexical_macro_f1,BERT,0.7399904566183827,Gemini,0.6834277048228994,0.05656275179548331
merged,distinct_skills,lexical_macro_f1,BERT,0.4706666468452182,GPT,0.43845369091395686,0.03221295593126133
merged,must_have,lexical_macro_f1,BERT,0.6761090066271076,Gemini,0.534345467550502,0.14176353907660555
merged,nice_to_have,lexical_macro_f1,Gemini,0.8128627554005238,GPT,0.7924845936397346,0.020378161760789215
it,all_skills,semantic_macro_f1,BERT,0.7727402865065685,Claude,0.6960638331955685,0.07667645331099993
it,hard_skills,semantic_macro_f1,BERT,0.7146216492789774,Claude,0.6705521509627833,0.04406949831619411
it,soft_skills,semantic_macro_f1,BERT,0.7088195345684356,Gemini,0.6687160583813233,0.0401034761871123
it,distinct_skills,semantic_macro_f1,Gemini,0.46787775716347146,GPT,0.4579502508073936,0.009927506356077864
it,must_have,semantic_macro_f1,Gemini,0.6639700676512486,Claude,0.6257466342001752,0.038223433451073374
it,nice_to_have,semantic_macro_f1,GPT,0.8030288359399854,Claude,0.8017482990720806,0.0012805368679048579
journal,all_skills,semantic_macro_f1,BERT,0.7860041620585061,GPT,0.6821478080923864,0.1038563539661197
journal,hard_skills,semantic_macro_f1,BERT,0.6953148775774441,Claude,0.5302156075522242,0.16509927002521996
journal,soft_skills,semantic_macro_f1,BERT,0.7383460366902194,Gemini,0.7043248699351154,0.034021166755103915
journal,distinct_skills,semantic_macro_f1,BERT,0.5057277972092846,GPT,0.42443196874943256,0.08129582845985206
journal,must_have,semantic_macro_f1,BERT,0.7662262090159264,BART,0.5093706299721912,0.25685557904373524
journal,nice_to_have,semantic_macro_f1,Gemini,0.8645030808466637,Claude,0.8233895208327027,0.04111356001396105
merged,all_skills,semantic_macro_f1,BERT,0.7775237879594623,Gemini,0.67184955094708,0.10567423701238232
merged,hard_skills,semantic_macro_f1,BERT,0.7196474545810019,BART,0.6044870375715126,0.11516041700948931
merged,soft_skills,semantic_macro_f1,BERT,0.7402716770023609,Gemini,0.6843347343013575,0.055936942701003356
merged,distinct_skills,semantic_macro_f1,BERT,0.47209521827378964,GPT,0.45164127777665897,0.020453940497130674
merged,must_have,semantic_macro_f1,BERT,0.6766152453066897,Gemini,0.535992254275429,0.14062299103126075
merged,nice_to_have,semantic_macro_f1,Gemini,0.8128627554005238,GPT,0.7944225781358584,0.018440177264665403
